ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat
279571050,12/27/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,B,41,0,25-44,M,WHITE HISPANIC,1014509,238113,40.820188951147415,-73.8906752472269,POINT (-73.8906752472269 40.820188951147415)
279592819,12/27/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,M,25,17,25-44,M,BLACK,1001351,232462,40.804715,-73.938227,POINT (-73.938227 40.804715)
279571041,12/27/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,B,41,1,25-44,M,WHITE HISPANIC,1013878,239551,40.82413799033059,-73.89294867750611,POINT (-73.89294867750611 40.82413799033059)
279580839,12/27/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,K,72,1,25-44,M,WHITE HISPANIC,983024,177659,40.654309475457225,-74.00441848198547,POINT (-74.00441848198547 40.654309475457225)
279589357,12/27/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,K,73,1,25-44,M,BLACK,1011591,181080,40.66365723863282,-73.90144969757841,POINT (-73.90144969757841 40.66365723863282)
279568802,12/27/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,K,73,1,45-64,M,BLACK,1009004,186404,40.67827803015641,-73.91075494958744,POINT (-73.91075494958744 40.67827803015641)
279527421,12/26/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,M,14,1,25-44,M,BLACK,985764,213806,40.7535327012632,-73.9945368920152,POINT (-73.9945368920152 40.7535327012632)
279524343,12/26/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,K,90,1,25-44,M,BLACK HISPANIC,1000351,194575,40.700725508650784,-73.94193187995256,POINT (-73.94193187995256 40.700725508650784)
279524329,12/26/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,K,78,1,25-44,M,BLACK,987381,183506,40.67035772942524,-73.98871321711381,POINT (-73.98871321711381 40.67035772942524)
279502423,12/26/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,K,75,1,25-44,M,BLACK,1012957,184994,40.674395964093016,-73.89650930396286,POINT (-73.89650930396286 40.674395964093016)
279518018,12/26/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,B,41,1,25-44,M,BLACK,1010774,235171,40.812125995016096,-73.90418129247784,POINT (-73.90418129247784 40.812125995016096)
279495228,12/26/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,B,52,1,18-24,M,BLACK HISPANIC,1013463,254828,40.86607022164704,-73.89438159169373,POINT (-73.89438159169373 40.866070221647036)
279524335,12/26/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,K,81,1,25-44,M,BLACK,1005983,186617,40.6788705991623,-73.92164580117114,POINT (-73.92164580117114 40.6788705991623)
279497434,12/26/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,Q,103,17,45-64,F,BLACK,1037664,194289,40.699795,-73.807364,POINT (-73.807364 40.699795)
279532639,12/26/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,K,79,1,25-44,M,WHITE HISPANIC,996546,187436,40.6811367070632,-73.9556676077586,POINT (-73.9556676077586 40.6811367070632)
279524321,12/26/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,B,49,1,25-44,M,BLACK,1020821,249278,40.850809736809765,-73.86780936029888,POINT (-73.86780936029888 40.850809736809765)
279512770,12/26/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,B,41,1,18-24,M,BLACK,1010774,235171,40.812125995016096,-73.90418129247784,POINT (-73.90418129247784 40.812125995016096)
279529855,12/26/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,K,79,0,25-44,M,BLACK,996546,187436,40.6811367070632,-73.9556676077586,POINT (-73.9556676077586 40.6811367070632)
279527406,12/26/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,K,73,1,25-44,M,BLACK,1011082,180980,40.66338431809069,-73.90328477835877,POINT (-73.90328477835877 40.66338431809069)
279518057,12/26/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,S,120,0,18-24,F,BLACK HISPANIC,963713,173753,40.643566,-74.074001,POINT (-74.074001 40.643566)
279497417,12/26/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,K,77,1,45-64,M,BLACK,1003358,182945,40.66879784311929,-73.9311201452519,POINT (-73.9311201452519 40.66879784311929)
279512771,12/26/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,B,41,1,25-44,M,BLACK,1010774,235171,40.812125995016096,-73.90418129247784,POINT (-73.90418129247784 40.812125995016096)
279507415,12/26/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,K,66,1,25-44,M,WHITE HISPANIC,985823,172664,40.64059922620008,-73.9943321010444,POINT (-73.9943321010444 40.64059922620008)
279453523,12/24/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,Q,109,1,25-44,M,WHITE HISPANIC,1031307,216054,40.759569525960025,-73.83013930521312,POINT (-73.83013930521312 40.759569525960025)
279411709,12/23/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,B,40,1,25-44,M,BLACK,1007046,236603,40.81606683945181,-73.91764392674679,POINT (-73.91764392674679 40.81606683945181)
279447216,12/23/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,Q,110,1,25-44,M,WHITE HISPANIC,1020176,206536,40.733497269964126,-73.87036942449794,POINT (-73.87036942449794 40.733497269964126)
279431738,12/23/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,M,5,1,25-44,M,BLACK HISPANIC,985902,201709,40.72032113840748,-73.99404032468442,POINT (-73.99404032468442 40.72032113840748)
279447749,12/23/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,B,41,1,25-44,M,WHITE HISPANIC,1010774,235171,40.812125995016096,-73.90418129247784,POINT (-73.90418129247784 40.812125995016096)
279447628,12/23/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,M,19,0,25-44,M,BLACK HISPANIC,995369,221138,40.77364202322589,-73.9598555143181,POINT (-73.9598555143181 40.77364202322589)
279444364,12/23/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,Q,109,1,25-44,F,BLACK,1031307,216054,40.759569525960025,-73.83013930521312,POINT (-73.83013930521312 40.759569525960025)
279426020,12/23/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,M,13,1,25-44,F,BLACK,984338,208351,40.73855195883507,-73.99968244859181,POINT (-73.99968244859181 40.73855195883507)
279411322,12/22/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,K,83,1,45-64,M,WHITE HISPANIC,1006644,195886,40.70431020686872,-73.91923188033564,POINT (-73.91923188033564 40.70431020686872)
279403483,12/22/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,M,14,0,18-24,M,WHITE HISPANIC,986061,213320,40.75219043401121,-73.99346359839569,POINT (-73.99346359839569 40.75219043401121)
279398377,12/22/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,M,14,1,25-44,M,BLACK,986848,212883,40.75099078334884,-73.99062326583427,POINT (-73.99062326583427 40.75099078334884)
279411009,12/22/2023,478.0,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,PL 1651503,M,Q,107,1,25-44,M,BLACK,1041627,198275,40.71070974248954,-73.79303916334497,POINT (-73.79303916334497 40.71070974248954)
