GEO_ID,NAME,Median_Income,NAME_sex,Total_Population,Male_Total,Female_Total,NAME_race,Race_Total,White_Alone,Black_Alone,NAME_hispanic,Ethnicity_Total,Hispanic_Latino,Non_Hispanic_Latino,GEOID
1400000US36005012701,Census Tract 127.01; Bronx County; New York,49784,Census Tract 127.01; Bronx County; New York,2385,1214,1171,Census Tract 127.01; Bronx County; New York,2385,214,624,Census Tract 127.01; Bronx County; New York,2385,566,1819,36005012701
1400000US36005012901,Census Tract 129.01; Bronx County; New York,35521,Census Tract 129.01; Bronx County; New York,5261,2524,2737,Census Tract 129.01; Bronx County; New York,5261,530,1310,Census Tract 129.01; Bronx County; New York,5261,1477,3784,36005012901
1400000US36005013000,Census Tract 130; Bronx County; New York,65357,Census Tract 130; Bronx County; New York,1329,580,749,Census Tract 130; Bronx County; New York,1329,649,9,Census Tract 130; Bronx County; New York,1329,373,956,36005013000
1400000US36005013100,Census Tract 131; Bronx County; New York,18408,Census Tract 131; Bronx County; New York,5210,2100,3110,Census Tract 131; Bronx County; New York,5210,619,2197,Census Tract 131; Bronx County; New York,5210,1862,3348,36005013100
1400000US36005013200,Census Tract 132; Bronx County; New York,108582,Census Tract 132; Bronx County; New York,7126,3666,3460,Census Tract 132; Bronx County; New York,7126,2236,1173,Census Tract 132; Bronx County; New York,7126,3370,3756,36005013200
1400000US36005013300,Census Tract 133; Bronx County; New York,31762,Census Tract 133; Bronx County; New York,5838,2306,3532,Census Tract 133; Bronx County; New York,5838,425,2138,Census Tract 133; Bronx County; New York,5838,2671,3167,36005013300
1400000US36005013500,Census Tract 135; Bronx County; New York,30865,Census Tract 135; Bronx County; New York,3295,1347,1948,Census Tract 135; Bronx County; New York,3295,580,1907,Census Tract 135; Bronx County; New York,3295,1868,1427,36005013500
1400000US36005013800,Census Tract 138; Bronx County; New York,90032,Census Tract 138; Bronx County; New York,2957,1445,1512,Census Tract 138; Bronx County; New York,2957,1653,432,Census Tract 138; Bronx County; New York,2957,1771,1186,36005013800
1400000US36005014100,Census Tract 141; Bronx County; New York,35238,Census Tract 141; Bronx County; New York,6864,3056,3808,Census Tract 141; Bronx County; New York,6864,236,3189,Census Tract 141; Bronx County; New York,6864,3731,3133,36005014100
1400000US36005014300,Census Tract 143; Bronx County; New York,16734,Census Tract 143; Bronx County; New York,1685,830,855,Census Tract 143; Bronx County; New York,1685,77,704,Census Tract 143; Bronx County; New York,1685,781,904,36005014300
1400000US36005014400,Census Tract 144; Bronx County; New York,32197,Census Tract 144; Bronx County; New York,6465,2784,3681,Census Tract 144; Bronx County; New York,6465,607,2348,Census Tract 144; Bronx County; New York,6465,2211,4254,36005014400
1400000US36005014500,Census Tract 145; Bronx County; New York,28022,Census Tract 145; Bronx County; New York,6560,3184,3376,Census Tract 145; Bronx County; New York,6560,386,4399,Census Tract 145; Bronx County; New York,6560,4400,2160,36005014500
1400000US36005014701,Census Tract 147.01; Bronx County; New York,23500,Census Tract 147.01; Bronx County; New York,5151,1852,3299,Census Tract 147.01; Bronx County; New York,5151,302,3154,Census Tract 147.01; Bronx County; New York,5151,3427,1724,36005014701
1400000US36005014702,Census Tract 147.02; Bronx County; New York,21533,Census Tract 147.02; Bronx County; New York,4985,2122,2863,Census Tract 147.02; Bronx County; New York,4985,519,2303,Census Tract 147.02; Bronx County; New York,4985,1769,3216,36005014702
1400000US36005014900,Census Tract 149; Bronx County; New York,35213,Census Tract 149; Bronx County; New York,4755,2637,2118,Census Tract 149; Bronx County; New York,4755,578,1896,Census Tract 149; Bronx County; New York,4755,2156,2599,36005014900
1400000US36005015100,Census Tract 151; Bronx County; New York,30558,Census Tract 151; Bronx County; New York,5414,2872,2542,Census Tract 151; Bronx County; New York,5414,467,3072,Census Tract 151; Bronx County; New York,5414,2713,2701,36005015100
1400000US36005015200,Census Tract 152; Bronx County; New York,84265,Census Tract 152; Bronx County; New York,2601,1457,1144,Census Tract 152; Bronx County; New York,2601,1099,326,Census Tract 152; Bronx County; New York,2601,1234,1367,36005015200
1400000US36005015300,Census Tract 153; Bronx County; New York,34704,Census Tract 153; Bronx County; New York,3502,1720,1782,Census Tract 153; Bronx County; New York,3502,337,1618,Census Tract 153; Bronx County; New York,3502,1201,2301,36005015300
1400000US36005015500,Census Tract 155; Bronx County; New York,42118,Census Tract 155; Bronx County; New York,3154,1373,1781,Census Tract 155; Bronx County; New York,3154,135,1096,Census Tract 155; Bronx County; New York,3154,984,2170,36005015500
1400000US36005015700,Census Tract 157; Bronx County; New York,45731,Census Tract 157; Bronx County; New York,5959,3202,2757,Census Tract 157; Bronx County; New York,5959,411,3011,Census Tract 157; Bronx County; New York,5959,3059,2900,36005015700
1400000US36005015800,Census Tract 158; Bronx County; New York,81000,Census Tract 158; Bronx County; New York,1625,808,817,Census Tract 158; Bronx County; New York,1625,805,103,Census Tract 158; Bronx County; New York,1625,835,790,36005015800
1400000US36005015900,Census Tract 159; Bronx County; New York,24654,Census Tract 159; Bronx County; New York,2153,896,1257,Census Tract 159; Bronx County; New York,2153,68,642,Census Tract 159; Bronx County; New York,2153,311,1842,36005015900
1400000US36005016000,Census Tract 160; Bronx County; New York,97445,Census Tract 160; Bronx County; New York,4063,1862,2201,Census Tract 160; Bronx County; New York,4063,2621,180,Census Tract 160; Bronx County; New York,4063,2814,1249,36005016000
1400000US36005016100,Census Tract 161; Bronx County; New York,23466,Census Tract 161; Bronx County; New York,4789,2216,2573,Census Tract 161; Bronx County; New York,4789,793,1686,Census Tract 161; Bronx County; New York,4789,1678,3111,36005016100
1400000US36005016200,Census Tract 162; Bronx County; New York,102361,Census Tract 162; Bronx County; New York,1802,948,854,Census Tract 162; Bronx County; New York,1802,652,132,Census Tract 162; Bronx County; New York,1802,926,876,36005016200
1400000US36005016300,Census Tract 163; Bronx County; New York,-,Census Tract 163; Bronx County; New York,0,0,0,Census Tract 163; Bronx County; New York,0,0,0,Census Tract 163; Bronx County; New York,0,0,0,36005016300
1400000US36005016400,Census Tract 164; Bronx County; New York,95781,Census Tract 164; Bronx County; New York,1107,561,546,Census Tract 164; Bronx County; New York,1107,491,55,Census Tract 164; Bronx County; New York,1107,822,285,36005016400
1400000US36005016500,Census Tract 165; Bronx County; New York,59000,Census Tract 165; Bronx County; New York,1233,583,650,Census Tract 165; Bronx County; New York,1233,50,803,Census Tract 165; Bronx County; New York,1233,783,450,36005016500
1400000US36005016600,Census Tract 166; Bronx County; New York,107344,Census Tract 166; Bronx County; New York,2387,1060,1327,Census Tract 166; Bronx County; New York,2387,599,390,Census Tract 166; Bronx County; New York,2387,1087,1300,36005016600
1400000US36005016700,Census Tract 167; Bronx County; New York,36181,Census Tract 167; Bronx County; New York,3203,1455,1748,Census Tract 167; Bronx County; New York,3203,153,1546,Census Tract 167; Bronx County; New York,3203,1446,1757,36005016700
1400000US36005016900,Census Tract 169; Bronx County; New York,47610,Census Tract 169; Bronx County; New York,1759,751,1008,Census Tract 169; Bronx County; New York,1759,100,820,Census Tract 169; Bronx County; New York,1759,900,859,36005016900
1400000US36005017100,Census Tract 171; Bronx County; New York,-,Census Tract 171; Bronx County; New York,0,0,0,Census Tract 171; Bronx County; New York,0,0,0,Census Tract 171; Bronx County; New York,0,0,0,36005017100
1400000US36005017300,Census Tract 173; Bronx County; New York,-,Census Tract 173; Bronx County; New York,5257,2007,3250,Census Tract 173; Bronx County; New York,5257,977,2335,Census Tract 173; Bronx County; New York,5257,2827,2430,36005017300
1400000US36005017500,Census Tract 175; Bronx County; New York,-,Census Tract 175; Bronx County; New York,6444,2745,3699,Census Tract 175; Bronx County; New York,6444,566,4259,Census Tract 175; Bronx County; New York,6444,4131,2313,36005017500
1400000US36005017701,Census Tract 177.01; Bronx County; New York,46070,Census Tract 177.01; Bronx County; New York,4566,2085,2481,Census Tract 177.01; Bronx County; New York,4566,295,2407,Census Tract 177.01; Bronx County; New York,4566,2232,2334,36005017701
1400000US36005017702,Census Tract 177.02; Bronx County; New York,38897,Census Tract 177.02; Bronx County; New York,5236,2775,2461,Census Tract 177.02; Bronx County; New York,5236,775,2961,Census Tract 177.02; Bronx County; New York,5236,3142,2094,36005017702
