Complex_ID,Latitude,Longitude,MEAN_Median_Inc,SUM_Total_Popu,SUM_Male_Total,SUM_Female_Tot,SUM_White_Alon,SUM_Black_Alon,SUM_Hispanic_L,SUM_Non_Hispan
152,40.817894,-73.947649,54206.4,51306,25773,25533,8820,28652,38247,13059
153,40.811109,-73.952343,55264.83333,56836,27838,28998,14533,23322,40869,15967
154,40.805085,-73.954882,85665.22222,38966,18845,20121,12572,16104,32951,6015
155,40.800603,-73.958161,58436.875,42809,20810,21999,13440,13641,30582,12227
156,40.796092,-73.961454,75934.8,33312,14541,18771,15642,4789,23477,9835
157,40.791642,-73.964696,96453,42010,18546,23464,25332,4249,33751,8259
158,40.785868,-73.968916,134666.4,33805,15904,17901,26053,1202,29791,4014
159,40.781433,-73.972143,145100.3333,41009,19530,21479,33341,1206,37672,3337
160,40.775594,-73.97641,150077,40184,18754,21430,30888,722,36897,3287
162,40.762456,-73.985984,112527,39118,22774,16344,24859,2464,33408,5710
164,40.752287,-73.993391,128010.7778,23044,11048,11996,12059,2326,19597,3447
165,40.745906,-73.998041,131688.5,50630,24826,25804,32806,3340,42366,8264
167,40.732338,-74.000495,156377,57849,27944,29905,44907,1846,52537,5312
168,40.726227,-74.003739,128214,34595,16887,17708,25476,1212,31701,2894
169,40.720824,-74.005229,129007.4286,26286,12822,13464,18127,991,23799,2487
173,40.699337,-73.990531,124629.1429,32845,15012,17833,19788,4287,29597,3248
175,40.688484,-73.985001,160246.2727,39797,18266,21531,20924,5741,34561,5236
176,40.686113,-73.973946,148787.4286,45306,20774,24532,23469,8085,38843,6463
177,40.683263,-73.965838,139403.2222,37383,17146,20237,17500,9721,31203,6180
179,40.680438,-73.950426,90891.875,31269,14592,16677,11169,12898,26832,4437
180,40.679921,-73.940858,94128.44444,34414,16882,17532,8785,18714,30269,4145
181,40.679364,-73.930729,78545.88889,38502,17420,21082,6981,24848,32987,5515
182,40.678822,-73.920786,65359.625,38058,17391,20667,5611,27240,33415,4643
183,40.67834,-73.911946,67447.88889,36518,17527,18991,4426,24599,29804,6714
185,40.674542,-73.896548,50113.625,22830,10891,11939,3183,10901,11588,11242
186,40.67271,-73.890358,46621.1,29409,12993,16416,2946,15402,16739,12670
187,40.67413,-73.88075,63555.2,36536,17805,18731,2700,17153,24136,12400
188,40.675377,-73.872106,63321.22222,36142,17464,18678,2519,15696,25910,10232
189,40.677044,-73.86505,70751.3,38683,19589,19094,5550,8929,27210,11473
190,40.679371,-73.858992,76197.7,35404,17605,17799,6246,3507,23163,12241
191,40.679843,-73.85147,72929.54545,34632,16968,17664,7614,2088,21562,13070
192,40.680429,-73.843853,81738.11111,28443,14062,14381,7210,1898,17316,11127
193,40.681711,-73.837683,86295.5,26614,13415,13199,4391,2059,18474,8140
194,40.684331,-73.832163,89870.88889,26441,13979,12462,2781,2731,20376,6065
195,40.685951,-73.825798,91018.9,33654,17608,16046,1952,3766,26498,7156
196,40.672097,-73.835919,105334,9252,4552,4700,3189,726,4624,4628
197,40.668234,-73.834058,85143.6,16752,8248,8504,8887,1504,10853,5899
198,40.660476,-73.830301,49460.5,9190,4563,4627,6474,593,7189,2001
199,40.608382,-73.815925,112949,2323,1199,1124,1987,43,2108,215
200,40.588034,-73.813641,60068.33333,15026,6144,8882,6314,4703,11230,3796
201,40.585307,-73.820558,64501.75,20107,8737,11370,9779,5045,14982,5125
202,40.583209,-73.827559,72764.5,8617,3969,4648,4617,1770,6540,2077
203,40.580903,-73.835592,90063,9175,4677,4498,6855,582,7111,2064
204,40.590927,-73.796924,72424.5,25437,11738,13699,7364,10583,18958,6479
205,40.592374,-73.788522,44672,18235,8523,9712,2025,11570,14120,4115
206,40.592943,-73.776013,45175,14337,6336,8001,1335,9224,10847,3490
207,40.595398,-73.768175,56217.85714,34017,15224,18793,4683,20302,26270,7747
208,40.600066,-73.761353,59334.8,28121,12707,15414,4476,14866,20809,7312
209,40.603995,-73.755405,70127.16667,37527,17441,20086,8987,15457,26011,11516
210,40.874811,-73.878855,44963.875,38105,18453,19652,6795,5726,13409,24696
211,40.873244,-73.887138,49543,48755,23316,25439,5650,9652,15315,33440
212,40.866978,-73.893509,44192.66667,57292,27515,29777,5193,10445,13869,43423
213,40.861296,-73.897749,37857.35714,70111,33884,36227,5674,16638,16507,53604
214,40.856093,-73.900741,39669.8,74637,34556,40081,6477,24930,22350,52287
215,40.85041,-73.905227,43176,60452,27265,33187,5598,24736,23541,36911
216,40.8459,-73.910136,43228.85714,53096,24460,28636,4048,19151,19636,33460
217,40.839306,-73.9134,40786,54784,26590,28194,7056,16317,17028,37756
218,40.833771,-73.91844,39177,74026,35902,38124,7422,29378,30211,43815
220,40.830135,-73.938209,53797.41667,65359,30802,34557,10343,26816,38547,26812
221,40.754203,-73.942836,90218,19315,9518,9797,5873,2823,15559,3756
222,40.759145,-73.95326,131538.5,6904,3186,3718,3193,983,6274,630
223,40.764629,-73.966113,155090.6667,29458,12813,16645,23455,580,27019,2439
224,40.763972,-73.97745,123524.4444,16034,8983,7051,10156,1001,14670,1364
225,40.758663,-73.981329,101683.1,16933,9709,7224,9284,1880,15115,1818
228,40.742878,-73.992821,178872.3,42901,21738,21163,28076,2949,37934,4967
231,40.718267,-73.993753,71507.81818,51767,25283,26484,19720,1912,45932,5835
232,40.723402,-73.989938,104370.9167,52500,26289,26211,30082,3842,42904,9596
234,40.713715,-73.990173,46457.625,49156,25655,23501,13585,3148,39637,9519
235,40.701397,-73.986751,80262.33333,21994,9729,12265,11252,4963,19292,2702
236,40.686145,-73.990862,179685.7,36634,17384,19250,24033,3129,32457,4177
237,40.680303,-73.995048,166412.2857,24391,12238,12153,19268,462,22359,2032
238,40.67358,-73.995959,104752.8,29757,14679,15078,16567,5623,22662,7095
240,40.666271,-73.980305,137711.5556,29430,13713,15717,21714,1030,26166,3264
241,40.660365,-73.979493,126769.3333,26570,13013,13557,20480,402,23600,2970
242,40.650782,-73.975776,119550.5714,16321,7847,8474,11889,1116,14342,1979
243,40.644041,-73.979678,91317.27273,33130,17252,15878,15648,2875,27336,5794
244,40.636119,-73.978172,68158,35464,17294,18170,21236,2251,31188,4276
245,40.629755,-73.976971,66322.25,28072,13846,14226,21780,1002,25642,2430
246,40.625322,-73.976127,65226.66667,23573,11775,11798,19658,291,22149,1424
