ARREST_DATE,ARREST_BORO,ARREST_PRECINCT,AGE_GROUP,PERP_SEX,PERP_RACE,Latitude,Longitude,station_complex_id
11/24/2023,B,41,45-64,M,BLACK,40.82413799033059,-73.89294867750611,430.0
11/24/2023,B,44,25-44,M,WHITE HISPANIC,40.840225853367535,-73.91768268616491,387.0
11/24/2023,B,44,25-44,M,BLACK,40.82781161940969,-73.92592932593037,604.0
11/22/2023,B,40,25-44,M,BLACK,40.81606683945181,-73.91764392674679,434.0
11/22/2023,B,40,45-64,M,WHITE HISPANIC,40.81606683945181,-73.91764392674679,434.0
11/22/2023,B,40,45-64,M,WHITE HISPANIC,40.81606683945181,-73.91764392674679,434.0
11/22/2023,B,40,25-44,M,WHITE HISPANIC,40.81606683945181,-73.91764392674679,434.0
11/22/2023,B,40,45-64,M,BLACK,40.81606683945181,-73.91764392674679,434.0
11/21/2023,M,33,25-44,M,BLACK HISPANIC,40.84095296978001,-73.93947116181074,605.0
11/21/2023,K,72,18-24,F,BLACK,40.649269733841365,-74.00966514972481,33.0
11/21/2023,B,40,25-44,M,BLACK,40.81606683945181,-73.91764392674679,434.0
11/21/2023,Q,110,25-44,M,WHITE HISPANIC,40.74843794788514,-73.87625202188431,452.0
11/21/2023,S,120,25-44,M,WHITE,40.643566,-74.074001,501.0
11/21/2023,B,40,25-44,M,BLACK,40.80755382044926,-73.91921496573,376.0
11/21/2023,M,14,25-44,M,BLACK,40.752001,-73.977392,610.0
11/20/2023,K,75,18-24,M,BLACK,40.659112692479056,-73.89921817587808,136.0
11/20/2023,S,120,25-44,M,BLACK,40.643566,-74.074001,501.0
11/20/2023,S,120,25-44,M,BLACK,40.643566,-74.074001,501.0
11/20/2023,K,71,25-44,M,BLACK,40.65709573262754,-73.95024855137949,355.0
11/19/2023,B,44,25-44,M,BLACK,40.82781161940969,-73.92592932593037,604.0
11/18/2023,Q,108,18-24,M,BLACK,40.74891559127928,-73.93739654434637,273.0
11/18/2023,B,40,25-44,M,WHITE,40.81606683945181,-73.91764392674679,434.0
11/18/2023,K,70,25-44,M,BLACK,40.635011,-73.962763,47.0
11/18/2023,Q,110,18-24,M,WHITE HISPANIC,40.74681219683057,-73.8917520418653,616.0
11/18/2023,B,47,18-24,M,BLACK,40.90348104720813,-73.85034060870207,416.0
11/17/2023,B,46,25-44,M,BLACK,40.848639432663525,-73.91167941229558,385.0
11/17/2023,K,62,45-64,M,WHITE,40.597925371205,-73.98719146111725,69.0
11/17/2023,S,120,25-44,M,WHITE HISPANIC,40.643566,-74.074001,501.0
11/17/2023,B,42,25-44,M,BLACK,40.83013694129822,-73.89187665421248,429.0
11/17/2023,B,44,25-44,M,WHITE HISPANIC,40.82781161940969,-73.92592932593037,604.0
11/17/2023,M,28,25-44,M,WHITE HISPANIC,40.8107644899635,-73.952590152183,153.0
11/16/2023,B,44,25-44,M,WHITE HISPANIC,40.82781161940969,-73.92592932593037,604.0
11/16/2023,M,30,25-44,M,BLACK HISPANIC,40.82642770243247,-73.95045075558801,304.0
11/16/2023,B,40,25-44,F,BLACK,40.819693764479865,-73.90160159492376,432.0
11/16/2023,M,18,25-44,F,BLACK HISPANIC,40.76229044248997,-73.98610578413911,162.0
11/16/2023,Q,115,25-44,M,BLACK,40.74684483147316,-73.89143078866834,616.0
11/16/2023,K,72,18-24,M,WHITE HISPANIC,40.66047157556889,-73.99801402245733,31.0
11/16/2023,B,42,25-44,M,BLACK,40.83013694129822,-73.89187665421248,429.0
11/16/2023,K,75,45-64,M,BLACK,40.659112692479056,-73.89921817587808,136.0
11/16/2023,B,52,25-44,M,BLACK,40.86275507175744,-73.90107874094647,382.0
11/16/2023,B,42,45-64,M,BLACK,40.83013694129822,-73.89187665421248,429.0
